name,submitted,category,iso,id_no
Le site de Koh Ker,01/09/1992,C,KH,62
Site des Kulen,01/09/1992,C,KH,63
Site d'Angkor Borei et Phnom Da,01/09/1992,C,KH,64
Site d'Oudong,01/09/1992,C,KH,65
Ensemble de Beng Mealea,01/09/1992,C,KH,66
Ensemble du Prah Khan de Kompong Svay,01/09/1992,C,KH,67
Ensemble de Banteay Chmar,01/09/1992,C,KH,68
Ensemble de Banteay Prei Nokor,01/09/1992,C,KH,69
Complexe des Parcs Nationaux de Boumba Bek et de Nki,02/02/2018,N,CM,6308
Parc National de Bouba Ndjidda,02/02/2018,N,CM,6310
Parc National de Campo-Ma'an,02/02/2018,N,CM,6312
Parc National de Korup,02/02/2018,N,CM,6313
Takamanda National Park,02/02/2018,N,CM,6315
Parc National de Waza,02/02/2018,N,CM,6316
Partie Camerounaise du Lac Tchad,02/02/2018,CN,CM,6318
Le Port d'esclaves de Bimbia et ses sites associés,02/02/2018,C,CM,6319
Chefferie de Bafut,02/02/2018,C,CM,6320
La Tour de Goto Goulfey,02/02/2018,C,CM,6321
Les gravures rupestres de Bidzar,02/02/2018,C,CM,6322
Les mégalithes de Djohong,02/02/2018,C,CM,6323
Les Mégalithes de Saa,02/02/2018,C,CM,6326
Les Tunnels ferroviaires de Njock,02/02/2018,C,CM,6327
Le paysage Culturel de Diy-Gid-Biy,02/02/2018,C,CM,6328
Le Lamidat de Rey-Bouba,02/02/2018,C,CM,6329
Le Paysage culturel des chuttes de la Lobé,02/02/2018,C,CM,6330
Site archéologique de Shum Laka,02/02/2018,C,CM,6331
La Grande Case dans la Chefferie traditionnelle des Grassfields,02/02/2018,C,CM,6332
Île d’Anticosti,13/04/2018,N,CA,6336
Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,13/04/2018,N,CA,6338
Qajartalik,13/04/2018,C,CA,6339
Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,13/04/2018,CN,CA,6340
Stein Valley,13/04/2018,C,CA,6341
Wanuskewin,13/04/2018,C,CA,6342
Yukon Ice Patches,13/04/2018,C,CA,6343
Writing-on-Stone / Áísínai’pi,01/10/2014,C,CA,6254
Gwaii Haanas,01/10/2004,CN,CA,1938
Ivvavik / Vuntut / Herschel Island (Qikiqtaruk),01/10/2004,CN,CA,1939
Quttinirpaaq,01/10/2004,CN,CA,1943
Tr’ondëk-Klondike,01/10/2004,C,CA,6255
Pimachiowin Aki,01/04/2004,CN,CA,6253
Les mégalithes de Bouar,11/04/2006,C,CF,4003
"Le Tata (palais fortifié) du Sultan Sénoussi, les grottes de Kaga-Kpoungouvou, la ville de Ndélé",11/04/2006,C,CF,4012
Les sites paléo-métallurgiques de Bangui,11/04/2006,C,CF,4005
Les gravures rupestres de Lengo,11/04/2006,C,CF,4006
Les vestiges du train de Zinga,11/04/2006,C,CF,4007
La Réserve intégrale de la Mbaéré-Bondingué,11/04/2006,N,CF,4009
Les chutes de la Mbi,11/04/2006,N,CF,4010
"La colline et la plaine, la rivière Oubangui et le patrimoine colonial bâti de la ville de Bangui",11/04/2006,C,CF,4011
La forêt et les campements résidentiels de référence pygmée AKA de la République Centrafricaine,11/04/2006,CN,CF,4012
Le site métallurgique de Begon II,21/07/2005,C,TD,2049
Site à Hominidés anciens du Djourab,21/07/2005,N,TD,2050
Lac Tchad,21/07/2005,N,TD,2051
Les ruines d'Ouara,21/07/2005,C,TD,2052
Les curieuses mines de fer de Télé-Nugar,21/07/2005,C,TD,2054
Gravures et peintures rupestres de l'Ennedi et du Tibesti,21/07/2005,C,TD,2055
Parc national de Zakouma,21/07/2005,N,TD,2056
Monte Verde Archaeological Site,23/02/2004,C,CL,1873
Churches of the Altiplano,01/09/1998,C,CL,1187
Archaeological sites of the Chinchorro culture,01/09/1998,C,CL,1188
Baquedano Street,01/09/1998,C,CL,1189
San Pedro de Atacama,01/09/1998,C,CL,1191
Ayquina and Toconce,01/09/1998,C,CL,1192
Cerro el Plomo high shrine,01/09/1998,C,CL,1194
La Moneda Palace,01/09/1998,C,CL,1195
San Francisco Church and Convent,01/09/1998,C,CL,1196
Houses of the hacienda San José del Carmen el Huique,01/09/1998,C,CL,1198
Malleco Viaduct,01/09/1998,C,CL,1199
Locomotive depot of the Temuco Railroad Station,01/09/1998,C,CL,1200
The Defensive Complex of Valdivia,01/09/1998,C,CL,1202
Rupestrian art of the Patagonia,01/09/1998,C,CL,1203
Fell and Pali Aike Caves,01/09/1998,C,CL,1204
Juan Fernández Archipelago National Park,30/03/1994,N,CL,84
"Torres del Paine and Bernardo O'Higgins National Parks, Region of Magallanes",30/03/1994,N,CL,85
Imperial Kiln Sites of Jingdezhen,05/09/2017,C,CN,6265
Guancen Mountain -- Luya Mountain,28/02/2017,N,CN,6184
Hulun Buir Landscape & Birthplace of Ancient Minority,28/02/2017,CN,CN,6185
Qinghai Lake,28/02/2017,N,CN,6186
Scenic and historic area of Sacred Mountains and Lakes,28/02/2017,CN,CN,6187
Taihang Mountain,28/02/2017,CN,CN,6188
The Coast of the Bohai Gulf and the Yellow Sea of China,28/02/2017,N,CN,6189
Vertical Vegetation Landscape and Volcanic Landscape in Changbai Mountain,28/02/2017,N,CN,6190
The Chinese Section of the Silk Roads,22/02/2016,C,CN,6093
Historic Monuments and Sites of Ancient Quanzhou (Zayton),20/01/2016,C,CN,6073
Fanjingshan,30/01/2015,N,CN,5988
Xinjiang Yardang,30/01/2015,N,CN,5989
Dunhuang Yardangs,30/01/2015,N,CN,5990
Tianzhushan,30/01/2015,CN,CN,5992
Jinggangshan--North Wuyishan (Extension of Mount Wuyi),30/01/2015,CN,CN,5993
ShuDao,30/01/2015,CN,CN,5994
Tulin-Guge Scenic and Historic Interest Areas,30/01/2015,CN,CN,5995
The Central Axis of Beijing (including Beihai),29/01/2013,C,CN,5802
Wooden Structures of Liao Dynasty—Wooden Pagoda of Yingxian County，Main Hall of Fengguo Monastery of Yixian County,29/01/2013,C,CN,5803
"Sites of Hongshan Culture: The Niuheliang Archaeological Site, the Hongshanhou Archaeological Site, and Weijiawopu Archaeological Site",29/01/2013,C,CN,5804
Liangzhu Archaeological Site,29/01/2013,C,CN,5805
Ancient Porcelain Kiln Site in China,29/01/2013,C,CN,5806
SanFangQiXiang,29/01/2013,C,CN,5808
Ancient Tea Plantations of Jingmai Mountain in Pu'er,29/01/2013,C,CN,5810
Western Xia Imperial Tombs,29/01/2013,C,CN,5811
Dong Villages,29/01/2013,C,CN,5813
Lingqu Canal,29/01/2013,C,CN,5814
Diaolou Buildings and Villages for Tibetan and Qiang Ethnic Groups,29/01/2013,C,CN,5815
"Archaeological Sites of the Ancient Shu State: Site at Jinsha and Joint Tombs of Boat- shaped Coffins in Chengdu City, Sichuan Province; Site of Sanxingdui in Guanghan City, Sichuan Province 29C.BC-5C.BC",29/01/2013,C,CN,5816
Taklimakan Desert—Populus euphratica Forests,29/01/2010,N,CN,5532
China Altay,29/01/2010,N,CN,5533
Karakorum-Pamir,29/01/2010,N,CN,5535
The Four Sacred Mountains as an Extension of Mt. Taishan,07/04/2008,CN,CN,5353
Sites for Liquor Making in China,28/03/2008,C,CN,5320
Ancient Residences in Shanxi and Shaanxi Provinces,28/03/2008,C,CN,5322
City Walls of the Ming and Qing Dynasties,28/03/2008,C,CN,5324
Slender West Lake and Historic Urban Area in Yangzhou,28/03/2008,C,CN,5327
The Ancient Waterfront Towns in the South of Yangtze River,28/03/2008,C,CN,5328
"Chinese Section of the Silk Road: Land routes in Henan Province, Shaanxi Province, Gansu Province, Qinghai Province, Ningxia Hui Autonomous Region, and Xinjiang Uygur Autonomous Region; Sea Routes in Ningbo City, Zhejiang Province and Quanzhou City, Fujian Province - from Western-Han Dynasty to Qing Dynasty",28/03/2008,C,CN,5335
Fenghuang Ancient City,28/03/2008,C,CN,5337
Site of Southern Yue State,28/03/2008,C,CN,5338
Baiheliang Ancient Hydrological Inscription,28/03/2008,C,CN,5341
Miao Nationality Villages in Southeast Guizhou Province: The villages of Miao Nationality at the Foot of Leigong Mountain in Miao Ling Mountains,28/03/2008,C,CN,5344
Karez Wells,28/03/2008,C,CN,5347
Expansion Project of Imperial Tombs of the Ming and Qing Dynasties: King Lujian’s Tombs,28/03/2008,C,CN,5351
"Yalong, Tibet",29/11/2001,CN,CN,1622
Yangtze Gorges Scenic Spot,29/11/2001,CN,CN,1623
Jinfushan Scenic Spot,29/11/2001,N,CN,1624
Heaven Pit and Ground Seam Scenic Spot,29/11/2001,N,CN,1625
Hua Shan Scenic Area,29/11/2001,CN,CN,1626
Yandang Mountain,29/11/2001,CN,CN,1627
Nanxi River,29/11/2001,CN,CN,1629
Maijishan Scenic Spots,29/11/2001,CN,CN,1631
Wudalianchi Scenic Spots,29/11/2001,N,CN,1632
Haitan Scenic Spots,29/11/2001,CN,CN,1633
Dali Chanshan Mountain and Erhai Lake Scenic Spot,29/11/2001,CN,CN,1634
Dongzhai Port Nature Reserve,12/02/1996,N,CN,105
The Alligator Sinensis Nature Reserve,12/02/1996,N,CN,106
Poyang Nature Reserve,12/02/1996,N,CN,107
The Lijiang River Scenic Zone at Guilin,12/02/1996,N,CN,108
Cultural Landscape of the Vernacular Stilt Housing of Cienaga Grande de Santa Marta and of Medio Atrato,22/10/2013,C,CO,5842
Canal del Dique - Dike Canal,27/09/2012,C,CO,5756
Cultural Landscape of the Lower Basin of the Chicamocha River,27/09/2012,CN,CO,5757
Chiribiquete National Park,27/09/2012,CN,CO,5758
University City of Bogotá,27/09/2012,C,CO,5759
Cultural Landscape of Salt Towns,27/09/2012,C,CO,5761
Pre-Hispanic Hydraulic System of the San Jorge River,27/09/2012,C,CO,5764
Tayrona and Sierra Nevada de Santa Marta National Parks and their Archaeological Sites,27/09/2012,CN,CO,5765
Tatacoa Desert,27/09/2012,CN,CO,5766
Catholic Doctrine Temples,27/09/2012,C,CO,5767
Virgilio Barco Library,27/09/2012,C,CO,5768
United Fruit Company Infrastructure,27/09/2012,C,CO,5770
South of Ricaurte Province,27/09/2012,CN,CO,5771
Puente de Occidente (Western Bridge),27/09/2012,C,CO,5772
Seaflower Marine Protected Area (MPA),18/09/2007,N,CO,5166
Buritaca 200 - Ciudad Perdida - Sierra Nevada de Santa Marta,29/10/1993,C,CO,147
Sistema Hidráulico Prehispánico del Río San Jorge,29/10/1993,C,CO,149
Parque Nacional Natural Chiribiquete,29/10/1993,N,CO,152
Ecosystèmes Marins de l'Archipel des Comores,31/01/2007,N,KM,5107
Ecosystèmes terrestres et paysage culturel de l'Archipel des Comores,31/01/2007,CN,KM,5108
Sultanats Historiques des Comores,31/01/2007,C,KM,5109
Paysage Culturel des Plantations à Parfums des Iles de la Lune,31/01/2007,C,KM,5110
Ancien port d’embarquement des esclaves de Loango,12/06/2008,C,CG,5373
Domaine royal de Mbé,12/06/2008,C,CG,5374
Le Parc National de Conkouati-Douli,12/06/2008,N,CG,5375
Parc national d’Odzala-Kokoua,12/06/2008,N,CG,5376
Corcovado National Park and Isla del Caño Biological Reserve,30/01/2003,N,CR,1795
Parc archéologique d'Ahouakro,29/11/2006,CN,CI,5087
Mosquées de style soudanais du Nord ivoirien (site en série),29/11/2006,C,CI,5088
Parc national des Iles Ehotilé,17/03/2006,N,CI,2099
Primošten Vineyards,29/01/2007,C,HR,5102
Hermitage Blaca,29/01/2007,C,HR,5103
City of Motovun,29/01/2007,C,HR,5104
The historic town of Korčula,29/01/2007,C,HR,5105
Kornati National Park and Telašćica Nature Park,29/01/2007,N,HR,5106
Zadar - Episcopal complex,01/02/2005,C,HR,157
"Historical-town planning ensemble of Ston with Mali Ston, connecting walls, the Mali Ston Bay nature reserve, Stonsko Polje and the salt pans",01/02/2005,C,HR,160
Historical-Town Planning Ensemble Tvrda (Fort) in Osijek,01/02/2005,C,HR,161
Varazdin - Historic Nucleus and Old Town (the Castle),01/02/2005,C,HR,162
Burg - Castle of Veliki Tabor,01/02/2005,C,HR,1167
Lonjsko Polje Nature Park,01/02/2005,CN,HR,2012
Velebit Mountain,01/02/2005,N,HR,2013
Frontiers of the Roman Empire Croatian Limes,01/02/2005,C,HR,2014
Diocletian's Palace and the Historical Nucleus of Split (extension),01/02/2005,C,HR,2015
Lubenice,01/02/2005,C,HR,2017
"National Schools of Art, Cubanacán",28/02/2003,C,CU,1798
Ciénaga de Zapata National Park,28/02/2003,N,CU,1801
Reef System in the Cuban Caribbean,28/02/2003,N,CU,1802
Hala Sultan Tekke and the Larnaka Salt Lake Complex,08/02/2016,CN,CY,6084
Church of Panagia Aggeloktisti,09/02/2015,C,CY,5987
Agioi Varnavas and Ilarion at Peristerona (Five-domed churches),02/02/2004,C,CY,1874
"Church of Panayia Chrysokourdaliotissa, Kourdali (extension to ""Painted Churches in the Troodos Region"")",04/02/2002,C,CY,1672
The rural settlement of Fikardou,04/02/2002,C,CY,1673
Mathiatis South,04/02/2002,CN,CY,1674
Kionia,04/02/2002,N,CY,1675
Khandria,04/02/2002,N,CY,1676
"Troodos, Mt. Olympus",04/02/2002,N,CY,1677
Malounta Bridge,04/02/2002,N,CY,1678
Klirou Bridge,04/02/2002,N,CY,1679
Great Spas of Europe,17/06/2014,C,CZ,5929
Mining Cultural Landscape Erzgebirge/Krušnohoří,25/09/2012,C,CZ,5775
Paysage culturel minier des Monts Métallifères (Erzgebirge),24/02/2012,C,CZ,5691
The West Bohemian Spa Triangle,25/06/2008,C,CZ,5378
