unique_number,id_no,name_en,date_inscribed,category,name_en
1315,1135,Capital Cities and Tombs of the Ancient Koguryo Kingdom,2004,Cultural,Asia and the Pacific
1269,1091,Complex of Koguryo Tombs,2004,Cultural,Asia and the Pacific
1105,945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),2004,Cultural,Asia and the Pacific
1279,1101,Champaner-Pavagadh Archaeological Park,2004,Cultural,Asia and the Pacific
1284,1106,Pasargadae,2004,Cultural,Asia and the Pacific
1564,1208,Bam and its Cultural Landscape,2004,Cultural,Asia and the Pacific
1323,1142,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,2004,Cultural,Asia and the Pacific
1326,1145,Petroglyphs within the Archaeological Landscape of Tamgaly,2004,Cultural,Asia and the Pacific
1259,1081,Orkhon Valley Cultural Landscape,2004,Cultural,Asia and the Pacific
1344,1167,Tropical Rainforest Heritage of Sumatra,2004,Natural,Asia and the Pacific
1289,1110,Historic Centre of Macao,2005,Cultural,Asia and the Pacific
1365,1188,Soltaniyeh,2005,Cultural,Asia and the Pacific
1370,1193,Shiretoko,2005,Natural,Asia and the Pacific
698,590,Dong Phayayen-Khao Yai Forest Complex,2005,Natural,Asia and the Pacific
1376,1199,Kunya-Urgench,2005,Cultural,Asia and the Pacific
1293,1114,Yin Xu,2006,Cultural,Asia and the Pacific
1390,1213,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",2006,Natural,Asia and the Pacific
1399,1222,Bisotun,2006,Cultural,Asia and the Pacific
1457,166,Sydney Opera House,2007,Cultural,Asia and the Pacific
1459,1112,Kaiping Diaolou and Villages,2007,Cultural,Asia and the Pacific
1965,1248,South China Karst,2007,Natural,Asia and the Pacific
1460,231,Red Fort Complex,2007,Cultural,Asia and the Pacific
1737,1246,Iwami Ginzan Silver Mine and its Cultural Landscape,2007,Cultural,Asia and the Pacific
1441,1264,Jeju Volcanic Island and Lava Tubes,2007,Natural,Asia and the Pacific
1471,1242,Parthian Fortresses of Nisa,2007,Cultural,Asia and the Pacific
1591,1224,Temple of Preah Vihear,2008,Cultural,Asia and the Pacific
1505,1113,Fujian <em>Tulou</em>,2008,Cultural,Asia and the Pacific
1523,1292,Mount Sanqingshan National Park,2008,Natural,Asia and the Pacific
1542,1262,Armenian Monastic Ensembles of Iran,2008,Cultural,Asia and the Pacific
1543,1102,Saryarka _ Steppe and Lakes of Northern Kazakhstan,2008,Natural,Asia and the Pacific
1871,1223,"Melaka and George Town, Historic Cities of the Straits of Malacca",2008,Cultural,Asia and the Pacific
1546,887,Kuk Early Agricultural Site,2008,Cultural,Asia and the Pacific
1511,1280,Chief Roi MataÕs Domain,2008,Cultural,Asia and the Pacific
1587,1279,Mount Wutai,2009,Cultural,Asia and the Pacific
1599,1315,Shushtar Historical Hydraulic System,2009,Cultural,Asia and the Pacific
1699,1230,Sulaiman-Too Sacred Mountain,2009,Cultural,Asia and the Pacific
1957,1319,Royal Tombs of the Joseon Dynasty,2009,Cultural,Asia and the Pacific
1648,1306,Australian Convict Sites,2010,Cultural,Asia and the Pacific
1726,1305,Historic Monuments of Dengfeng in ÒThe Centre of Heaven and EarthÓ,2010,Cultural,Asia and the Pacific
1676,1335,China Danxia,2010,Natural,Asia and the Pacific
1677,1338,"The Jantar Mantar, Jaipur",2010,Cultural,Asia and the Pacific
1680,1345,Sheikh Safi al-din Kh_neg_h and Shrine Ensemble in Ardabil,2010,Cultural,Asia and the Pacific
1681,1346,Tabriz Historic Bazaar Complex,2010,Cultural,Asia and the Pacific
1683,1325,Phoenix Islands Protected Area,2010,Natural,Asia and the Pacific
1684,1339,Bikini Atoll Nuclear Test Site,2010,Cultural,Asia and the Pacific
1688,1324,Historic Villages of Korea: Hahoe and Yangdong,2010,Cultural,Asia and the Pacific
1650,1203,Central Highlands of Sri Lanka,2010,Natural,Asia and the Pacific
1651,1141,Proto-urban Site of Sarazm,2010,Cultural,Asia and the Pacific
1689,1328,Central Sector of the Imperial Citadel of Thang Long - Hanoi,2010,Cultural,Asia and the Pacific
1763,1369,Ningaloo Coast,2011,Natural,Asia and the Pacific
1765,1334,West Lake Cultural Landscape of Hangzhou,2011,Cultural,Asia and the Pacific
1768,1372,The Persian Garden,2011,Cultural,Asia and the Pacific
1771,1277,"Hiraizumi _ Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",2011,Cultural,Asia and the Pacific
1770,1362,Ogasawara Islands,2011,Natural,Asia and the Pacific
1773,1382,Petroglyphic Complexes of the Mongolian Altai,2011,Cultural,Asia and the Pacific
1775,1358,Citadel of the Ho Dynasty,2011,Cultural,Asia and the Pacific
1803,1388,Chengjiang Fossil Site,2012,Natural,Asia and the Pacific
1804,1389,Site of Xanadu,2012,Cultural,Asia and the Pacific
1921,1342,Western Ghats,2012,Natural,Asia and the Pacific
1836,1194,Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,2012,Cultural,Asia and the Pacific
1821,1397,Masjed-e J_m_ of Isfahan  ,2012,Cultural,Asia and the Pacific
1822,1398,Gonbad-e Q_bus,2012,Cultural,Asia and the Pacific
1820,1396,Archaeological Heritage of the Lenggong Valley,2012,Cultural,Asia and the Pacific
1801,1386,Rock Islands Southern Lagoon,2012,Mixed,Asia and the Pacific
